تصنيف المستوى الأول,تصنيف المستوى الثاني,الاستفسارات الظاهرة للمستفيد الخارجي,الكلمات المفتاحية للاستفسار,الإجابة,الاستفسار بصياغة أخرى - 1,الاستفسار بصياغة أخرى - 2,الاستفسار بصياغة أخرى - 3
مستوى التعليم الجامعي,الابتعاث الخارجي,اليه مصادقة شهادة من خلال حساب الطالب نظام سفير الطلبة ؟ ,معادل - شهادة - سفير - آلية - خطوات ,"يمكن للطالب المبتعث التقديم على مصادقات شهادات من خلال الخدمات الدراسية في القائمة الرئيسة ومن ثم يرجى
النقر على طلب مصادقة شهادات، ويجب تعبئة البيانات المطلوبة كاختيار المرحلة الدراسية وإكمال بيانات المرحلة
وإرفاق المسوغات المطلوبة كـ صورة من الشهادة - كشف الدرجات-تعبيئة نموذج المعادلة من موقع الوزارة )ومن ثم يرجى النقر
على زر »تسليم « لإكمال الطلب",كيف يتم مصادقة شهادة الطالب في نظام سفير ؟ كيف يتم مصادقة الشهادة في نظام سفير ؟ كيف اصادق شهادتي في نظام سفير ؟ كيف اصادق الشهادة في نظام سفير ؟ ما هي خطوات مصادقة الشهادة في نظام سفير ؟,كيف اسوي مصادقة لشهادتي من سفير الطلبة ؟ ,كيف اقدر اسوي مصادقة للشهادة في سفير ؟ 
مستوى التعليم الجامعي,الابتعاث الخارجي,حل مشكلة فقدان كلمة المرور لنظام سفير ؟,سفير - نظام - بوابة - مبتعث - فقدان - نسيان - كلمة - مرور - سر - مشكلة - استعادة - تغيير,"من خلال نظام سفير الطلبة وبعد النقر على أيقونة تسجيل دخول الطالب يمكن النقر على نسيت كلمة المرور،
ومن ثم يجب إدخال رقم الهوية الوطنية ومن ثم النقر على إرسال كلمة المرور على بريدك الإلكتروني 
المسجل في النظام ,في حال تعذر ذلك يتم التواصل مع الدعم الفني في البوابة
",كيف استرجع كلمة المرور في نظام سفير ؟ كيف استعيد كلمة المرور في نظام سفير ؟ كيف اسجل دخول بعد فقدان كلمة المرور في نظام سفير ؟ مشكلة في كلمة المرور كيف احلها  في نظام سفير ؟ كيف احل مشكلة فقدان كلمة المرور في نظام سفير ,ماهي خطوات استعادة كلمة السر لحسابي في سفير ؟ ,هل بإمكانك تزويدي بآلية استعادة كلمة المرور لحسابي سفير ؟
مستوى التعليم الجامعي,الابتعاث الخارجي,"اليه طلب تعويض مالي للمبتعث ؟
",سفير - نظام - بوابة - مبتعث - تعويض - مالي - طلب,"يمكن للطالب المبتعث طلب تعويض مالي عن طريق القائمة الرئيسة واختيار الخدمات المالية، وبعد ذلك عن
طريق القائمة المنسدلة يتم اختيار طلب تعويض، ويجب تحديد النوع والمبلغ وإرفاق صورة من الفاتورة، وكذلك
التعريف بالجهة المستفيدة، وإكمال تعبئة باقي الحقول، ثم يرجى النقر على زر تسليم",كيف اطلب تعويض مالي في نظام سفير ؟ ماهي خطوات طلب تعويض مالي في نظام سفير ؟ كيفية طلب تعويض مالي للمبتعث في نظام سفير ؟,من وين احصل على تعويض مالي ؟ ,ابغى تعويض مالي كيف الطريقة ؟
مستوى التعليم الجامعي,الابتعاث الخارجي,كيفية الاستفسار عن المكافأة و التأكد من نزولها للمبتعثين ؟ ,سفير - نظام - بوابة - مبتعث - مكافأة - مكافآت - صرف - ايداع - نزول,"يظهر في كشف الحساب الموجود في نظام سفير الطلبة البوابة الإلكترونية أنه تم استلام المكافأة الشهرية،
ويظهر اسم الشهر الحالي، بالإضافة إلى المستحقات السابقة، وفي حال وجود مشاكل متعلقة بذلك يرجى
التواصل مع الملحقية عن طريق خدمة استفسار",كيف استفسر عن المكافأة في نظام سفير  والتأكد من ايداعها ؟ كيف استفسر عن المكافآت في نظام سفير ؟ كيف استفسر عن مكافأتي في نظام سفير ؟,كيف اتأكد أن المكافأه نزلت لي ؟ ,من فين اعرف ان المكافأة نزلت لي ؟
مستوى التعليم الجامعي,الابتعاث الخارجي,"ماهو سبب عدم ظهور الخدمات الإلكترونية للمبتعثين ؟
",برنامج - وظيفتك - بعثتك - بعث - ابتعاث - الخدمات - الكتروني - مرحلة - ثاني - عشر -خدمات ,"عليك التواصل مع الدعم الفني لحل المشكلة التقنية 
https://safeer.moe.gov.sa/Sites/Student/Pages/default.aspx","لا تظهر لي الخدمات الإلكترونية في نظام سفير؟
",ماهو سبب عدم ظهور الخدمات الالكترونية في حسابي ؟,الخدمات الالكترونية لا تظهر لي في سفير ماهو السبب ؟ 
مستوى التعليم الجامعي,الابتعاث الخارجي,ماهي آلية طلب إضافة تقرير دراسي؟ ,تقرير - دراسي - سفير  - إضافة - آلية,"لمعرفة آلية طلب إضافة تقرير دراسي  يمكنكم  الدخول على الرابط الآتي:
https://safeer.moe.gov.sa/Sites/Student/Pages/addStudyReport.aspx",طريقة إضافة تقرير دراسي في نظام سفير ؟ ,كيف اضيف تقرير دراسي في نظام سفير ؟,ابي اضيف التقرير دراسي في نظام سفير
مستوى التعليم الجامعي,الابتعاث الخارجي,"كيف يستطيع الطالب المبتعث متابعة طلبه، وهو في بلد الابتعاث؟",سفير _ متابعة_ متابع _ طلب _ طالب _دولة _ مبتعث ,"يستطيع متابعة طلبه عبر البوابة الإلكترونية، وذلك على الرابط الآتي:
http://safeer.moe.gov.sa/sites/student/pages/default.aspx",كيف اقدر اتابع طلباتي في سفير وانا في دولة الابتعاث؟ كيف يستطيع الطالب المبتعث متابعة حالة طلباته المقدمة في نظام سفير؟,كيف اعرف وش صار على طلبي في سفير ,من وين اتابع طلباتي في سفير
مستوى التعليم الجامعي,الابتعاث الخارجي,ماهي آلية طلب انتقال طالب من دولة الى دولة أخرى؟,انتقال _ دولة _ اخرى _ مبتعث_ طالب _ سفير _ تقديم ,"عليه التقديم بطلبه عبر البوابة الإلكترونية  على الرابط الآتي:
http://safeer.moe.gov.sa/sites/student/pages/default.aspx",كيف يقدر يقدم الطالب المبتعث طلب انتقال من دولة  لدولة آخرى في سفير  ؟ كيف يمكن تقديم طلب انتقال طالب مبتعث من دولة إلى دولة آخرى في نظام سفير ؟,وشلون اغير دولة الابتعاث,كيف اغير المكان المبتعث له 
مستوى التعليم الجامعي,الابتعاث الخارجي,خدمة اعادة نظر في نظام سفير :,ابتعاث - بعث  - طلب - سفير  - نظر - إعادة - نظام - خدمة,يمكن الاستفادة من خدمة ( اعادة النظر ) المتاحة على سفير الطلبة ليتم اعادة دراسة الطلب المرفوض الكترونيا من قبل لجنة مختصة في الوزارة .,وش خدمة اعادة نظر في نظام سفير ؟,وش هي خدمة اعادة نظر في نظام سفير ,ماهي خدمة اعادة نظر في نظام سفير 
مستوى التعليم الجامعي,الابتعاث الخارجي,ما هي اليه  تغيير البريد الالكتروني لنظام سفير ؟,ابتعاث - بعث  - طلب - سفير - بريد - إلكتروني - نظام - آلية - ايميل,"التواصل مع الدعم الفني على البوابة 
او التواصل مع الموظف المختص على الايميل sismail@moe.gov.sa بهذا الخصوص وارفاق صورة من الهويه و البريد الجديد ..
",كيف اغير  البريد الالكتروني في نظام سفير ؟,وش لون اغير  البريد الالكتروني في نظام سفير,ابي اغير  البريد الالكتروني في نظام سفير
مستوى التعليم الجامعي,الابتعاث الخارجي,"ماهي خطوات إضافة بيانات جواز السفر للطالب؟
",اضافة _ جواز _ بيانات_ سفر _ طالب _ اضيف _ المبتعث _ المبتعيثين ,"لمعرفة خطوات إضافة بيانات جواز السفر للطالب عليكم التقديم بطلب عبر البوابة الإلكترونية على الرابط الآتي:
http://safeer.moe.gov.sa/sites/student/pages/default.aspx",كيف يمكنني اضافة بيانات جواز السفر للطالب المبتعث ؟ كيف اقدر اضيف بينات جواز السفر للمبتعثين ؟,وشلون اضيف بيانات جواز السفر,كيف اقدر اضيف بيانات الجواز للمبتعث
مستوى التعليم الجامعي,الابتعاث الخارجي,الحصول على رقم قرار الابتعاث :,ابتعاث - بعث - حصول - رقم - قرار - الابتعاث,"بالرجوع الى قرار الابتعاث يوجد بالأسفل ختم موضح به رقم القرار + تاريخه 
و في حال لا يتوفر لديه القرار أو فقدانه بإمكانه التواصل مع الدعم الفني على البوابة",كيف احصل  على رقم قرار الابتعاث ؟,وش لون  احصل  على رقم قرار الابتعاث ,طريقة الحصول على رقم قرار الابتعاث 
مستوى التعليم الجامعي,الابتعاث الخارجي,"كيف نستطيع تعديل بيانات الحساب البنكي؟
",سفير _ حساب _ بنكي _ خطوات _ تغيير _ آلية _ تغيير _ اغير _ اقدر ,"لتعديل بيانات الحساب البنكي عليكم التقديم بطلب عبر البوابة الإلكترونية على الرابط الآتي:
http://safeer.moe.gov.sa/sites/student/pages/default.aspx",ماهي خطوات تغيير الحساب البنكي في نظام سفير ؟ ماهي الآلية المتبعة لتغيير الحساب البنكي في نظام سفير ؟ كيف اقدر اغير الحساب البنكي في سفير ؟ ,وشلون اغير  حساب البنك في سفير,ابي اغير حساب البنك 
مستوى التعليم الجامعي,الابتعاث الخارجي,"كيف يمكن تحديث بيانات الاتصال للطالب؟
",طالب _ مبتعث _ سفير _ تحديث _ بيانات _ الإتصال _ خطوات _ اقدر _ احدث,"لتحديث بيانات الاتصال بالطالب، عليه التقديم بطلبه عبر البوابة الإلكترونية على الرابط الآتي:
http://safeer.moe.gov.sa/sites/student/pages/default.aspx
بعد تسجيل الدخول من خلال الخدمات الإلكترونية ثم  بيانات الاتصال",ماهي خطوات تحديث بيانات الإتصال للطالب المبتعث في نظام سفير ؟ كيف اقدر احدث بيانات الاتصال للطالب المبتعث في سفير ؟,ابي احدث بيانات اتصال المبتعث ,وشلون احدث بيانات الاتصال
مستوى التعليم الجامعي,الابتعاث الخارجي,"كيف يتم طلب تذكرة سفر؟
",خطوات _ طلب _ سفر _ سفير_ اقدم _ تقديم _ تذكرة _ مبتعث ,"لطلب تذكرة سفر عليكم التقديم بطلب عبر البوابة الإلكترونية على الرابط الآتي:
http://safeer.moe.gov.sa/sites/student/pages/default.aspx
",ماهي خطوات تقديم طلب تذكرة سفر للطالب المبتعث في نظام سفير ؟ كيف اقدر اقدم طلب تذكرة سفر في سفير؟,وشلون اقدم طلب تذكرة في سفير,ابي اقدم على طلب تذكرة في سفير
مستوى التعليم الجامعي,الابتعاث الخارجي,"ماهو رابط الدعم الفني لبوابة سفير : 
",برنامج - وظيفتك - بعثتك - بعث - ابتعاث - بوابة - موقع - دعم -فني - رابط,"للتواصل مع الدعم الفني بإمكانك زيارة الرابط التالي :
https://ksp.moe.gov.sa/support/?kasstageid=13",وش رابط الدعم الفني لبوابة سفير ؟,عطوني  رابط الدعم الفني لبوابة سفير ؟,شلون اتواصل مع الدعم الفني لبوابة سفير ؟
مستوى التعليم الجامعي,الابتعاث الخارجي,ماهي آلية إعادة الصرف للطالب؟,إعادة _ صرف _ طلب _ سفير _ اقدر _خطوات ,"لمعرفة آلية إعادة الصرف للطالب عليه التقديم بطلبه عبر البوابة الإلكترونية على الرابط الآتي: 
http://safeer.moe.gov.sa/sites/student/pages/default.aspx",كيف يتم إعادة الصرف للطالب المبتعث ؟ ماهي خطوات تقديم طلب إعادة الصرف عن طريق نظام سفير ؟ كيف اقدر اطلب إعادة الصرف للطالب المبتعث ؟ ,وشلون اعادة الصرف للمبتعث,كيف هي اعادة الصرف للمبتعث
مستوى التعليم الجامعي,الابتعاث الخارجي,"كيف يتم تسديد الرسوم؟
",رسوم _ دراسية _ تسديد _ سداد _  دراسية _ خطوات _ للطالب _ سفير ,"لتسديد الرسوم عليكم التقدم بطلبكم عبر البوابة الإلكترونية على الرابط الآتي:
http://safeer.moe.gov.sa/sites/student/pages/default.aspx",ماهي آلية تسديد الرسوم الدراسية للطالب المبتعث في نظام سفير ؟ ماهي خطوات تسديد الرسوم الدراسية للطالب المبتعث في نظام سفير ؟ كيف اعرف خطوات سداد الرسوم الدراسية في سفير ؟ ,كيف اسدد الرسوم في سفير,وشلون اسدد الرسوم ي سفير
مستوى التعليم الجامعي,الابتعاث الخارجي,"كيف يتم الضمان المالي؟
",سفير _ ضمان _ مالي _ طلب _ سفير ,"التقديم على الضمان المالي يكون عبر عبر البوابة الإلكترونية من خلال الرابط الآتي:

http://safeer.moe.gov.sa/sites/student/pages/default.aspx",كيف يتم التقديم على طلب الضمان المالي في نظام سفير  ؟ كيف اقدر اقدم طلب الضمان المالي في سفير؟,وشلون اطلب الضمان المالي ,ابي اقدم على الضمان المالي
مستوى التعليم الجامعي,الابتعاث الخارجي,"ماهي آلية إضافة بيانات التأمين الطبي للطالب؟
",طالب _ سفير _ تأمين _ طبي _ خطوات _ اضافة _ اقدر المبتعث _ الخارج ,"لإضافة بيانات التأمين الطبي للطالب عليكم التقدم بطلبكم عبر البوابة الإلكترونية على الرابط الآتي:
http://safeer.moe.gov.sa/sites/student/pages/default.aspx",كيف يمكن إضافة بيانات التأمين الطبي في نظام سفير للطالب المبتعث؟ ماهي خطوات إضافة بينات التأمين للطالب المبتعث في الخارج ؟ كيف اقدر اضيف بيانات التأمين الطبي للطالب في سفير ؟,وشلون اضيف بيانات التامين الطبي في سفير,كيف اضيف بيانات التامين الطبي
مستوى التعليم الجامعي,الابتعاث الخارجي,ماهي آلية تمديد الصرف؟,ابتعاث - بعث - تمديد - صرف - آلية - طلب - سفير - بوابة,"لمعرفة آلية تمديد الصرف عليكم زيارة البوابة الإلكترونية عبر الرابط الآتي:
http://safeer.moe.gov.sa/sites/student/pages/default.aspx
",كيف اقدم طلب تمديد الصرف ؟ شلون اقدم طلب تمديد صرف في نظام سفير ؟,ابي اقدم طلب تمديد الصرف,وشلون اقدم طلب تمديد الصرف
مستوى التعليم الجامعي,الابتعاث الخارجي,"ماهي آلية طلب خدمة كشف الحساب؟
",ابتعاث - بعث - كشف - حساب - سفير - طلب - آلية,"لطلب خدمة كشف الحساب عليكم التقدم بطلبكم عبر البوابة الإلكترونية على الرابط الآتي:
http://safeer.moe.gov.sa/sites/student/pages/default.aspx",كيف اقدم كشف الحساب في نظام سفير ؟ كيف اقدم طلب خدمة كشف الحساب في نظام سفير ؟,وشلون اقدم على كشف حساب في سفير,ابي اقدم كشف حساب في سفير كيف
مستوى التعليم الجامعي,الابتعاث الخارجي,"ماهي آلية طلب مكافأة التميز للطالب؟
",ابتعاث - بعث - مكافأت - مكافأة - تميز - آلية - طلب ,"لمعرفة آلية طلب مكافأة التميز للطالب عليكم التقدم بطلبكم عبر البوابة الإلكترونية على الرابط الآتي:
http://safeer.moe.gov.sa/sites/student/pages/default.aspx",كيف اطلب مكافأة تميز ؟ ,وشلون اطلب مكافئأة تميز,من وين اطلب مكافأة تميز
مستوى التعليم الجامعي,الابتعاث الخارجي,ماهي آلية الاستمرار في دراسة اللغة؟,ابتعاث - بعث - آلية - استمرار - اللغة - دراس,"لمعرفة آلية الاستمرار في دراسة اللغة عليكم التقدم بطلبكم عبر البوابة الإلكترونية على الرابط الآتي:
http://safeer.moe.gov.sa/sites/student/pages/default.aspx

http://safeer.moe.gov.sa/sites/student/pages/default.aspx",ماهي آلية الاستمرار في دراسة اللغة؟,كيف اكمل دراسة اللغة ,وشلون اكمل دراسة اللغة
مستوى التعليم الجامعي,الابتعاث الخارجي,"ماهي آلية العودة بعد التأجيل؟
",ابتعاث - بعث - طلب - عودة - تأجيل - آلية ,"طلب العودة بعد التأجيل يتم بالتقديم عبر البوابة الإلكترونية على الرابط الآتي:
http://safeer.moe.gov.sa/sites/student/pages/default.aspx
","كيف اقدم طلب العودة بعد التأجيل؟
",وشلون اقدم على طلب العودة بعد التأجيل,ابي اقدم على طلب العودة بعد التأجيل
مستوى التعليم الجامعي,الابتعاث الخارجي,ماهي آلية إعادة عضوية البعثة؟,ابتعاث - بعث - إعادة - عضوية - آلية - طلب - تقديم,"إعادة عضوية البعثة تتم بالتقديم عبر البوابة الإلكترونية من خلال الرابط الآتي:
http://safeer.moe.gov.sa/sites/student/pages/default.aspx
",كيف اقدم طلب إعادة عضوية البعثة ؟,وشلون اطلب اعادة عضوية البعثة,من وين اطلب اعادة البعثة
مستوى التعليم الجامعي,الابتعاث الخارجي,"كيف يتم إنهاء البعثة؟
",ابتعاث - بعث - سفير - إنهاء - سفير ,"لمعرفة إجراءات إنهاء البعثة عليكم التقدم بطلبكم عبر البوابة الإلكترونية على الرابط الآتي:
http://safeer.moe.gov.sa/sites/student/pages/default.aspx
","كيف انهي بعثني ؟ كيف اقدم طلب انهاء بعثة في نظام سفير ؟
",وشلون انهي بعثتي,من وين انهي بعثتي
مستوى التعليم الجامعي,الابتعاث الخارجي,"ماهي آلية تأجيل البعثة؟
",ابتعاث - بعث - تأجيل - آلية - سفير ,"لمعرفة آلية تأجيل البعثة عليكم التقدم بطلبكم عبر البوابة الإلكترونية على الرابط الآتي:
http://safeer.moe.gov.sa/sites/student/pages/default.aspx","كيف اقدم طلب تأجيل بعثة؟
",وش طريقة طلب تاجيل البعثة,من وين اقدم طلب تاجيل البعثة
مستوى التعليم الجامعي,الابتعاث الخارجي,"ماهي آلية تعديل نهاية تاريخ البعثة؟
",ابتعاث - بعث  - تعديل - تاريخ - سفير  - نظام,"لمعرفة آلية تعديل نهاية تاريخ البعثة عليكم التقديم عبر البوابة الإلكترونية على الرابط الآتي:
http://safeer.moe.gov.sa/sites/student/pages/default.aspx","كيف اقدم طلب تعديل تاريخ نهاية البعثة ؟ كيف اعدل نهاية تاريخ البعثة؟
",من وين اعدل تاريخ نهاية البعثة ,وشلون اعدل تاريخ نهاية البعثة 
مستوى التعليم الجامعي,الابتعاث الخارجي,"ماهي آليةتعديل تاريخ بداية البعثة؟
",ابتعاث - بعث - سفير -نظام - بداية - تاريخ - تعديل,"لتعديل تاريخ بداية البعثة عليكم التقديم عبر البوابة الإلكترونية على الرابط الآتي:
http://safeer.moe.gov.sa/sites/student/pages/default.aspx","كيف اقدم طلب تعديل تاريخ بداية البعثة ؟ كيف اعدل بداية تاريخ البعثة؟
",من وين اعدل تاريخ بداية البعثة ,وشلون اعدل بداية تاريخ البعثة
مستوى التعليم الجامعي,الابتعاث الخارجي,"ماهي آلية إلحاق أقارب موفدين بعضوية البعثة؟
",شروط - ضوابط - موفد - بعث - قريب - طالب - إلحاق - بعث - ابتعاث - سفير - نظام  ,"لمعرفة آلية إلحاق أقارب موفدين بعضوية البعثة عليكم التقدم بطلبكم عبر البوابة الإلكترونية على الرابط الآتي:
http://safeer.moe.gov.sa/sites/student/pages/default.aspx",ما هي شروط الالحاق بالبعثة لأقارب الموفدين ؟ كيف يتم الحاق أقارب الموفدين بالبعثة ؟ ماهي ضوابط الحاق أقارب الموفدين بالبعثة ؟,وش شروط وضوابط الحاق البعثة لاقارب الوافدين,من وين الحق اقارب الموفدين للبعثة
مستوى التعليم الجامعي,الابتعاث الخارجي,"ماهي آلية رموز التفعيل في نظام سفير للطالب المبتعث ؟
",ابتعاث - بعث - رموز - نظام - سفير - طالب - مبتعث - تفعيل ,"عزيزي الطالب / عزيزتي الطالبة:
يرجى التحقق من إدخال البيانات بشكل صحيح، وفي حال التحقق من إدخال البيانات يرجى تغيير الجهاز أو الانتظار، فقد يتأخر وصول رمز التفعيل 
وشكراً.",لماذا يتأخر وصول رمز التفعيل في نظام سفير؟,ليه يتاخر  رمز  التفعيل فسفير,بيطول رمز التفعيل على مايوصل 
مستوى التعليم الجامعي,الابتعاث الخارجي,ماهي آلية رمز التفعيل بسبب غير مستوفي الشروط في نظام سفير للطالب المبتعث؟,ابتعاث - بعث - تفعيل - شروط - سفير - نظام - طالب - مبتعث - رمز,"عزيزي الطالب / عزيزتي الطالبة
لايمكن ارسال رمز التفعيل اذا لم تكن مستوفي الشروط , حيث يظهر بالاسفل باللون الاحمر السبب لعدم قبولك
واذا لايظهر لديك سبب باللون الاحمر بالاسفل يرجى مراسلتنا مرة أخرى مع ذكر انك مستوفي الشروط حتى يتم العمل على المشكلة اللتي تواجهك
وشكراً",لماذا لا يتم ارسال رمز التفعيل في نظام سفير؟,الحين ليه ماتجي رسالة برمز التفعيل في سفير,ليه مايرسل سفير رمز التفعيل
مستوى التعليم الجامعي,الابتعاث الخارجي,ماهي آلية استخراج جواز السفر حتى استكمال التسجيل في برنامج خادم الحرمين الشريفين؟,ابتعاث - بعث - جواز - سفر - تسجيل - برنامج - خادم - الحرمين - الشريفين,"عزيزي الطالب / عزيزتي الطالبة
يرجى استخراج او تجديد جواز السفر حتى تتمكن من أستكمال التسجيل في برنامج خادم الحرمين الشريفين للابتعاث الخارجي
وشكراً",كيف استخرج جواز السفر لاكمال التسجيل في برنامج خادم الحرمين الشريفين ؟,وشلون اطلعلي جواز سفر واكمل التقديم,وش الطريقة الي اطلع فيها جواز سفر
مستوى التعليم الجامعي,الابتعاث الخارجي,"ما هي أهمية تسجيل رقم الجوال، وعلى أي صيغة يكتب في نظام سفير ؟",ابتعاث - بعث - تسجيل - رقم - جوال - صيغة - نظام - سفير ,"يجب على الطالب والطالبة التأكد من وضع رقم الجوال بالصيغة الدولية ليتمكن من استقبال
 رمز التفعيل، وذلك كالآتي:
966 = الصيغة الدولية للملكة العربية السعودية
966×××××××××َ

مع خالص الاحترام والتقدير،،،","ما هي أهمية تسجيل رقم الجوال، وعلى أي صيغة يكتب في نظام سفير ؟",لازم اسجل رقم الجوال ووش الصيغة الي اكتب عليها في سفير,وشلون اكتب صيغة رقم الجوال في سفير
مستوى التعليم الجامعي,الابتعاث الخارجي,ماذا يفعل الطالب إذا كان في القائمه السوداء؟,ابتعاث - بعث - طالب - قائمة - سوداء ,"عزيزي الطالب / عزيزتي الطالبة
يرجى مراجعة وكالة وزارة التعليم العالي لشؤون الابتعاث بمدينة الرياض 
وشكراً",ما ذا افعل اذا كنت في القائمة السوداء ؟ ما العمل اذا كنت في القائمة السوداء ؟,وش اسوي اذا كنت بالقائمة السوداء,الحين الي فالقائمة السوداء وش يسوي
مستوى التعليم الجامعي,الابتعاث الخارجي,ماهي آلية تعديل الطلب في نظام سفير ؟,ابتعاث - بعث  - طلب - نظام - سفير - تعديل - آلية,"عزيزي الطالب / عزيزتي الطالبة
الطلب لا يمكن التعديل عليه حيث انه تحت الاجراء الأن , 
وشكراً",كيف اعدل الطلب في نظام سفير ؟,وشلون اعدل طلبي في سفير,اقدر اعدل الطلب في سفير
مستوى التعليم الجامعي,الابتعاث الخارجي,"كيف يمكن الاستعلام عن ترقية الموظفين المبتعثين من جامعات حكومية؟ 
",طلب _ ترقية _ مبتعث _ جامعة _ حكومي _ خطوات _ استعلام ,"للاستعلام عن ترقية الموظفين المبتعثين عليهم التقديم بالطلب عبر البوابة الإلكترونية  على الرابط الآتي:
http://safeer.moe.gov.sa/sites/student/pages/default.aspx",كيف اقدر استعلم عن طلب ترقية موظف مبتعث من جامعة حكومية ؟ ماهي خطوات الإستعلام عن طلب ترقية الموظفين المبتعثين من الجامعات الحكومية ؟ ,من وين اشوف طلب ترقيتي مبتعث من جامعة حكومية,وش صار على طلب ترقيتي مبتعث من جامعة حكومية
مستوى التعليم الجامعي,الابتعاث الخارجي,كيف يتم طلب تعديل ضمان مالي؟,ابتعاث - بعث - طلب - تعديل - ضمان - مالي,"عزيزي الطالب / عزيزتي الطالبة

بأمكانك طلب تعديل ترجمة الاسم في الضمان المالي ، بطلب ضمان مالي مرة أخرى وارفاق صورة من الجواز ومستند يوضح ان هنالك 
خطأ في كتابة الاسم في الضمان المالي , 

وعند مواجهة مشكلة تقنية نأمل عدم التردد بالتواصل معنا عبر الايميل التالي فقط وعدم الرد على هذه الرسالة :
CRM.STD@mohe.gov.sa

وشكراً",كيف اعدل طلب الضمان المالي ؟,وشلون اعدل طلب الضمان المالي ,وش الطريقة الي اعدل فيها الضمان المالي
مستوى التعليم الجامعي,الابتعاث الخارجي,كيف يتم توجية استفسارات في نظام سفير؟,ابتعاث - بعث - استفسار - نظام - سفير,"عزيزي الطالب / عزيزتي الطالبة

نحن نقوم بخدمتك فيما يخص الدعم الفني ،  بإمكانك التواصل مع جهات الابتعاث على
Questions@mohe.gov.sa

او التواصل مع مركز خدمات المبتعثين
schlr@mohe.gov.sa
01-2688999  / الهاتف المباشر

أو زيارة صفحة بوابة سفير الطلبة المبتعثين
https://safeer.mohe.gov.sa/Sites/Student/Pages/default.aspx
وشكر",كيف ارفع استفسارات في نظام سفير ؟,وشلون استفسر في سفير,ابي استفسر في سفير
مستوى التعليم الجامعي,الابتعاث الخارجي,ماهو سبب رفض تعديل البيانات في نظام سفير ؟,ابتعاث - بعث  - رفض - سبب - تعديل - نظام - سفير - بيانات,"عزيزي الطالب / عزيزتي الطالبة
يرجى التاكد من إدخال البيانات بشكل صحيح 
وشكراً",ايش سبب رفض تعديل البيانات في نظام سفير ؟ وش سبب رفض تعديل البيانات في نظام سفير ؟,ماقدرت اعدل بياناتي في سفير ليه,ليه يعيي اعدل البيانات في سفير 
مستوى التعليم الجامعي,الابتعاث الخارجي,ماهي آلية طلب اختفاء الخدمات الدراسية والمالية من البوابة المالية من البوابة الالكترونية؟,ابتعاث - بعث  - آلية - طلب - دراسي - مالي - بواب - إلكتروني - اختفاء - خدمات - بوابة ,"اذا كانت لدى الطالب هذه المشكلة يجب التأكد من لديه احد الطلبات مفتوحه لدى الطالب 
في حال وجود طلب مقدم من أحدى هذه الأنواع التالية :
- طلب الحاق طالب دارس على حسابه الخاص
- طلب الحاق مرافق بعضوية البعثة
- طلب الحاق اقارب موفدين
- طلب إلحاق بالبعثة للمرافق الدارس
- طلب الحاق مرافق بعضوية البعثة
- طلب الحاق طالب بعضوية البعثة
- وبالتالي يكون الرد
- عزيزي الطالب / عزيزتي الطالبة
تم اغلاق الخدمات الدراسية والخدمات المالية لحين الانتهاء من طلبك .............. وبعد إغلاق الطلب سوف تظهر لك الخدمات الدراسية والخدمات المالية",كيف اطلب اختفاء الخدمات الدراسية والمالية من البوابة المالية ومن البوابة الإلكترونية ؟,من وين اقدم طلب عشان الخدمات الدراسية والمالية  من البوابة المالية والبوابة الالكترونية اختفت,ليه اختفت الخدمات الدراسية والمالية من البوابة المالية والالكترونية
مستوى التعليم الجامعي,الابتعاث الخارجي,ماهي آلية رفع بريد التواصل بتقديم الشكوى المتعلقة بالطلبة؟,ابتعاث - بعث - بريد - تواصل - تقديم - شكوى - الطلبة,"عزيزي الطالب/ عزيزتي الطالبة
أمل التواصل مع الدعم الفني الخاص بالطلبة على البريد الإلكتروني التالي : stdportal@mohe.gov.sa

وشكراً",كيف ارفع بريد شكوى متعلقة بطلبي ؟,وشلون ارفع بريد شكوى على طلب ,من وين ارفع بريد شكوى على طلبي
مستوى التعليم الجامعي,الابتعاث الخارجي,كيف يكون متابعة طلب الابتعاث؟,ابتعاث - بعث  - متابعة - طلب - الابتعاث,"عزيزي الطالب/ عزيزتي الطالبة
يمكن متابعه طلبك من خلال الدخول الى البوابة والذهاب الى خيار متابعة الطلب لمعرفه طلبك أو التواصل مع المشرف بخصوص الطلب
و يمكنك متابعه طلبك من خلال الدخول على الرابط التالي
http://safeer.mohe.gov.sa/Sites/Student/ScholarshipStudent/Pages/StudentRequests.aspx
وشكراً",كيف اتابع طلب الابتعاث ؟ كيف اتابع طلبي للابتعاث ؟,وشلون اتابع طلب ابتعاثي,من وين اتابع طلب الابتعاث
مستوى التعليم الجامعي,الابتعاث الخارجي,ما معنى أن تكون بيانات غير مدققه في طلب الابتعاث؟,ابتعاث - بعث - غير مدقق - طلب - الابتعاث - بيانات,يرجئ التوآصل مع الملحقيه لتدقيق بياناتك ,ما الحل عندما تكون بياناتي غير مدققة في طلب الابتعاث؟,وش اسوي بياناتي مو مدققة فطلب الابتعاث,وشلون احل مشكلة البيانات  مو مدققة بطلب ابتعاثي
